Restaurant Name,City,Latitude,Longitude,Cuisine
Chokshi-Bhattacharyya Restaurant,Pune,18.509221,73.812257,South Indian
"Sethi, Kaul and Ramaswamy Restaurant",Lucknow,26.859812,80.970128,Italian
"Dutt, Basak and Choudhary Restaurant",Ahmedabad,23.046872,72.602961,Chinese
"Vala, Bhakta and Prashad Restaurant",Hyderabad,17.41495,78.454645,Indian
Subramanian-Dutt Restaurant,Delhi,28.602815,77.183309,Indian
Raghavan-Dubey Restaurant,Lucknow,26.857634,80.974387,North Indian
Brahmbhatt-Natt Restaurant,Lucknow,26.857616,80.915977,Japanese
Sridhar PLC Restaurant,Kolkata,22.548966,88.366678,South Indian
Chauhan-Dutta Restaurant,Pune,18.547002,73.855946,Arabic
Das and Sons Restaurant,Chennai,13.044831,80.247148,Mexican
Apte-Parmer Restaurant,Pune,18.500369,73.87151,South Indian
Agarwal-Gandhi Restaurant,Jaipur,26.911194,75.807601,South Indian
Jani and Sons Restaurant,Hyderabad,17.390141,78.452226,Mexican
Padmanabhan Inc Restaurant,Ahmedabad,23.005482,72.587611,Japanese
"Warrior, Ram and Parmer Restaurant",Mumbai,19.055156,72.86999,Italian
Sha and Sons Restaurant,Delhi,28.623301,77.179511,Italian
Mutti Inc Restaurant,Jaipur,26.923409,75.80343,Indian
Brahmbhatt-Natt Restaurant,Chennai,13.05788,80.28251,Arabic
"Vala, Vig and Chanda Restaurant",Bangalore,12.97886,77.56867,Mexican
Cheema-Pillai Restaurant,Mumbai,19.074339,72.907924,Chinese
Bajaj and Sons Restaurant,Mumbai,19.052803,72.890117,Chinese
"Apte, Naik and Badami Restaurant",Lucknow,26.851312,80.896804,Chinese
Balay Inc Restaurant,Chennai,13.090149,80.288625,Chinese
Karnik-Prabhakar Restaurant,Delhi,28.579111,77.200896,Italian
Ramakrishnan-Kant Restaurant,Jaipur,26.895145,75.795988,Indian
Bumb-Joshi Restaurant,Kolkata,22.590275,88.369211,Japanese
"Sehgal, Sahni and Sekhon Restaurant",Ahmedabad,23.020095,72.591983,North Indian
Walia-Upadhyay Restaurant,Mumbai,19.082105,72.851525,Chinese
Randhawa-Rai Restaurant,Ahmedabad,23.021469,72.538098,Chinese
"Ahluwalia, Mandal and Loke Restaurant",Kolkata,22.567875,88.408713,Italian
Upadhyay and Sons Restaurant,Bangalore,12.991867,77.59236,Italian
Dayal-Bajwa Restaurant,Delhi,28.587642,77.245429,North Indian
Palla-Thakkar Restaurant,Mumbai,19.086362,72.914261,Mexican
Bajaj and Sons Restaurant,Bangalore,12.963762,77.566392,North Indian
Dhar-Chatterjee Restaurant,Bangalore,12.974229,77.559476,Chinese
"Mane, Pandya and Jayaraman Restaurant",Ahmedabad,23.050552,72.590532,North Indian
Naik Inc Restaurant,Hyderabad,17.401404,78.478723,Mexican
Raj Group Restaurant,Chennai,13.076361,80.240811,Indian
Kumar-Badami Restaurant,Bangalore,12.97452,77.639653,South Indian
"Bhandari, Kala and Kapadia Restaurant",Pune,18.501985,73.89406,Indian
Gade Inc Restaurant,Bangalore,12.997596,77.619133,Indian
Bhavsar-Tata Restaurant,Kolkata,22.572918,88.342811,South Indian
"Kapadia, Iyengar and Sibal Restaurant",Lucknow,26.857727,80.966459,Japanese
Bajwa-Dalal Restaurant,Mumbai,19.09625,72.87815,Chinese
Lal LLC Restaurant,Lucknow,26.864948,80.948815,Indian
Sule and Sons Restaurant,Lucknow,26.851116,80.924587,Arabic
Koshy Group Restaurant,Bangalore,13.011497,77.600339,Mexican
"Nagi, Barman and Varma Restaurant",Hyderabad,17.384142,78.463473,North Indian
Deo-Rege Restaurant,Ahmedabad,23.039542,72.589292,Japanese
Manda Group Restaurant,Delhi,28.629448,77.23648,Arabic
Gupta-Parmer Restaurant,Jaipur,26.874586,75.766278,Italian
"Kaur, Krishnan and Mander Restaurant",Kolkata,22.541859,88.389476,Arabic
Bains Inc Restaurant,Jaipur,26.913944,75.744112,Arabic
"Koshy, Kar and Gara Restaurant",Mumbai,19.097587,72.872169,Chinese
Baral-Kalita Restaurant,Bangalore,12.978417,77.617558,North Indian
Karpe-Kurian Restaurant,Delhi,28.64938,77.180666,Japanese
Oommen Ltd Restaurant,Jaipur,26.875617,75.793482,Japanese
Sodhi PLC Restaurant,Kolkata,22.577917,88.333204,Mexican
Saxena-Vora Restaurant,Kolkata,22.549601,88.374388,Italian
Wadhwa-Viswanathan Restaurant,Delhi,28.644373,77.240277,Chinese
Lala and Sons Restaurant,Chennai,13.041006,80.27459,Chinese
"Kashyap, Narayanan and Sachdev Restaurant",Chennai,13.12264,80.249868,Indian
Sani-Hans Restaurant,Bangalore,12.932946,77.580298,Arabic
Raghavan Inc Restaurant,Mumbai,19.0868,72.856752,Chinese
"Mitra, Agarwal and Chanda Restaurant",Kolkata,22.595616,88.351093,Japanese
Dube PLC Restaurant,Pune,18.494602,73.855378,Japanese
Sood and Sons Restaurant,Pune,18.481861,73.875532,Mexican
Bhardwaj-Boase Restaurant,Ahmedabad,22.994025,72.549556,South Indian
Nayar-Kanda Restaurant,Hyderabad,17.39804,78.516306,South Indian
Padmanabhan Inc Restaurant,Lucknow,26.871487,80.945544,North Indian
Sharaf Group Restaurant,Lucknow,26.817734,80.969775,Japanese
Suresh PLC Restaurant,Hyderabad,17.392575,78.461743,Indian
Subramanian and Sons Restaurant,Ahmedabad,22.985336,72.549236,Italian
"Char, Mall and Singh Restaurant",Mumbai,19.042598,72.860236,Arabic
Bahri-Hans Restaurant,Jaipur,26.936836,75.752671,Indian
"Roy, Comar and Rajan Restaurant",Jaipur,26.913463,75.764968,North Indian
Contractor Ltd Restaurant,Chennai,13.054266,80.241286,Chinese
Sen and Sons Restaurant,Lucknow,26.833275,80.926846,Italian
Chander PLC Restaurant,Ahmedabad,23.014088,72.550758,Chinese
"Mitter, Krishnan and Rana Restaurant",Kolkata,22.552764,88.381208,Japanese
Chokshi-Bhattacharyya Restaurant,Mumbai,19.066564,72.855139,Chinese
Peri-Sarin Restaurant,Lucknow,26.828095,80.949212,Arabic
Grover-Banerjee Restaurant,Delhi,28.591736,77.211913,Arabic
Keer-Agrawal Restaurant,Kolkata,22.611224,88.350268,North Indian
Memon-Minhas Restaurant,Jaipur,26.880075,75.804341,Chinese
Mitter LLC Restaurant,Lucknow,26.869129,80.962922,Japanese
Ramachandran-Sridhar Restaurant,Delhi,28.59177,77.173862,South Indian
"Yohannan, Varty and Nanda Restaurant",Lucknow,26.856541,80.969577,Arabic
Sagar-Vasa Restaurant,Ahmedabad,22.988405,72.557575,Indian
"Sarin, Shetty and Keer Restaurant",Lucknow,26.808403,80.970783,South Indian
"Naidu, Devan and Nagy Restaurant",Lucknow,26.863801,80.92275,Chinese
"Shan, Chada and Khalsa Restaurant",Delhi,28.593951,77.184695,Arabic
Sule PLC Restaurant,Bangalore,12.974841,77.560719,Chinese
"Pau, Ramachandran and Sandal Restaurant",Chennai,13.112123,80.278684,Chinese
Wadhwa and Sons Restaurant,Chennai,13.118785,80.287733,Indian
"Sem, Nadig and Magar Restaurant",Pune,18.534346,73.881799,Italian
"Mittal, Suresh and Sami Restaurant",Hyderabad,17.419257,78.474922,South Indian
Korpal-Rama Restaurant,Bangalore,12.991895,77.585951,South Indian
"Singhal, Vala and Brar Restaurant",Jaipur,26.911628,75.809064,Japanese
"Dalal, Rastogi and Borde Restaurant",Delhi,28.592526,77.225799,Arabic
Wadhwa-Parekh Restaurant,Jaipur,26.945095,75.799665,Japanese
Lala Group Restaurant,Ahmedabad,23.036968,72.609211,Chinese
Prabhu-Goda Restaurant,Bangalore,12.953528,77.561113,Chinese
"Panchal, Dasgupta and Karan Restaurant",Chennai,13.08071,80.24077,South Indian
Naik Inc Restaurant,Chennai,13.090188,80.302491,Indian
Khalsa Ltd Restaurant,Kolkata,22.589328,88.356181,Indian
Dalal Inc Restaurant,Pune,18.513416,73.891755,South Indian
Dara LLC Restaurant,Ahmedabad,23.060988,72.571664,Chinese
Chokshi-Bhattacharyya Restaurant,Ahmedabad,23.039731,72.61413,Chinese
"Vasa, Saini and Bala Restaurant",Bangalore,12.954227,77.629995,Chinese
Virk-Garg Restaurant,Delhi,28.61573,77.257926,Mexican
"Shenoy, Mital and Chadha Restaurant",Ahmedabad,22.985358,72.551924,Mexican
Swamy-Borde Restaurant,Mumbai,19.088319,72.901328,Indian
Hayre-Pandit Restaurant,Delhi,28.622568,77.178319,Indian
Kala-Jayaraman Restaurant,Delhi,28.595412,77.23697,Chinese
Kanda-Dutta Restaurant,Delhi,28.572838,77.189752,Japanese
Modi-Nair Restaurant,Delhi,28.583195,77.212288,Italian
Basu Ltd Restaurant,Pune,18.507918,73.839382,South Indian
Nath-Kanda Restaurant,Ahmedabad,23.018057,72.59995,Mexican
"Chad, Halder and Hegde Restaurant",Mumbai,19.092264,72.900452,Japanese
"Bahri, Chopra and Keer Restaurant",Jaipur,26.887167,75.751425,North Indian
Seth-Shanker Restaurant,Hyderabad,17.364082,78.481052,Japanese
Wagle-Bora Restaurant,Jaipur,26.885704,75.781179,Arabic
Pall LLC Restaurant,Delhi,28.619213,77.170633,Indian
Dalal-Hayre Restaurant,Pune,18.561437,73.866681,Japanese
"Viswanathan, Natarajan and Hans Restaurant",Kolkata,22.574443,88.405138,South Indian
"Krish, Mohan and Bir Restaurant",Delhi,28.642979,77.172183,Indian
Dara-Tak Restaurant,Bangalore,12.948768,77.563502,Mexican
"Mittal, Suresh and Sami Restaurant",Lucknow,26.808844,80.947802,Indian
"Madan, Saran and Korpal Restaurant",Delhi,28.654581,77.209771,Arabic
Kumar-Raja Restaurant,Chennai,13.088083,80.294047,Italian
Kapadia PLC Restaurant,Chennai,13.052097,80.2682,Indian
Kalla-Wagle Restaurant,Mumbai,19.054325,72.899177,Indian
"Sheth, Mutti and Walla Restaurant",Hyderabad,17.341681,78.497272,Indian
Choudhry Inc Restaurant,Bangalore,13.010421,77.600203,Arabic
"Ahluwalia, Mandal and Loke Restaurant",Delhi,28.614657,77.234236,Mexican
Agarwal-Gandhi Restaurant,Bangalore,12.990687,77.580092,Chinese
Iyer-Palla Restaurant,Lucknow,26.869259,80.976724,Indian
"Viswanathan, Shroff and Menon Restaurant",Pune,18.533986,73.88417,Japanese
Thaman-D’Alia Restaurant,Chennai,13.087976,80.29186,South Indian
Kala PLC Restaurant,Pune,18.506081,73.824491,Japanese
Khurana Group Restaurant,Jaipur,26.88913,75.822092,Arabic
Grover-Chana Restaurant,Bangalore,12.998211,77.576002,Chinese
"Hegde, Pandya and Kar Restaurant",Delhi,28.642681,77.213464,Italian
Nayak Group Restaurant,Ahmedabad,22.999932,72.593639,Japanese
Gulati-Memon Restaurant,Ahmedabad,23.000829,72.536437,South Indian
"Mane, Taneja and Dutta Restaurant",Chennai,13.104693,80.293882,Arabic
"Viswanathan, Shroff and Menon Restaurant",Lucknow,26.858631,80.910511,Japanese
"Agarwal, Khanna and Gaba Restaurant",Jaipur,26.914511,75.748274,Indian
"Nadig, Pall and Mander Restaurant",Pune,18.501359,73.868093,North Indian
Saxena LLC Restaurant,Mumbai,19.066975,72.904244,North Indian
Raghavan and Sons Restaurant,Kolkata,22.537186,88.376228,Italian
Bajaj-Chandra Restaurant,Ahmedabad,23.02689,72.526546,Japanese
Tak Inc Restaurant,Pune,18.48597,73.882666,Mexican
Krishna Group Restaurant,Lucknow,26.808293,80.93941,Mexican
Shetty-Mohanty Restaurant,Ahmedabad,23.06359,72.578495,Japanese
"Parmer, Raghavan and Saha Restaurant",Kolkata,22.545324,88.327915,North Indian
Sant-Ramaswamy Restaurant,Kolkata,22.568046,88.411924,Mexican
"Kothari, Shankar and Chaudhary Restaurant",Mumbai,19.10519,72.881715,Arabic
Goyal-Kala Restaurant,Chennai,13.098542,80.29867,Italian
Nayak-Mutti Restaurant,Mumbai,19.096434,72.883401,Japanese
Shan-Baria Restaurant,Chennai,13.109548,80.299768,Japanese
"Kunda, Savant and Bassi Restaurant",Bangalore,13.002671,77.57175,South Indian
"Sawhney, Gola and Om Restaurant",Delhi,28.607122,77.250246,Mexican
"Sarma, Nayar and Samra Restaurant",Mumbai,19.102507,72.855608,Japanese
Varkey-Biswas Restaurant,Pune,18.551448,73.880808,Mexican
"Kapadia, Iyengar and Sibal Restaurant",Jaipur,26.88057,75.805377,Italian
Dyal-Jha Restaurant,Chennai,13.079374,80.301494,South Indian
Sharaf Group Restaurant,Hyderabad,17.399223,78.462956,Japanese
"Kaul, Vohra and Taneja Restaurant",Pune,18.558124,73.875583,Arabic
Kanda-Dutta Restaurant,Pune,18.494367,73.847434,Mexican
Bedi and Sons Restaurant,Chennai,13.059641,80.287559,North Indian
"Vala, Vig and Chanda Restaurant",Bangalore,12.939017,77.591949,Japanese
Bhavsar-Tata Restaurant,Chennai,13.121071,80.276763,Japanese
Chokshi-Bhattacharyya Restaurant,Hyderabad,17.361258,78.487096,Chinese
Mitter LLC Restaurant,Pune,18.553579,73.838437,Arabic
Deshmukh Ltd Restaurant,Mumbai,19.097397,72.887614,South Indian
Jani and Sons Restaurant,Pune,18.533603,73.832042,Indian
D’Alia-Oza Restaurant,Chennai,13.045881,80.289936,Italian
"Karpe, Goyal and Panchal Restaurant",Delhi,28.62758,77.235267,Italian
Prakash-Sood Restaurant,Mumbai,19.095253,72.902821,Italian
Parsa LLC Restaurant,Jaipur,26.937772,75.757027,South Indian
"Sachdev, Kala and Zachariah Restaurant",Bangalore,12.931676,77.597894,Mexican
Kapadia PLC Restaurant,Hyderabad,17.406764,78.478773,Chinese
"Krish, Vora and Das Restaurant",Delhi,28.584273,77.23713,North Indian
Chaudhuri Ltd Restaurant,Pune,18.556923,73.835895,Arabic
"Bandi, Tiwari and Reddy Restaurant",Ahmedabad,23.021414,72.547885,Arabic
Nazareth Ltd Restaurant,Chennai,13.044441,80.287338,Italian
"Sridhar, Walia and Srivastava Restaurant",Ahmedabad,22.990977,72.588423,South Indian
Nazareth-Venkataraman Restaurant,Chennai,13.111118,80.262641,Mexican
Mutti Inc Restaurant,Lucknow,26.816515,80.945905,Italian
Kuruvilla and Sons Restaurant,Ahmedabad,23.041076,72.563567,North Indian
Mukherjee-Kala Restaurant,Lucknow,26.859028,80.902891,Italian
Raja-Bhakta Restaurant,Ahmedabad,23.046159,72.548217,Arabic
Raman-Wagle Restaurant,Delhi,28.631176,77.217658,Italian
Sethi Group Restaurant,Kolkata,22.568655,88.387918,Chinese
Bera-Ray Restaurant,Delhi,28.656948,77.207207,Japanese
Dua Inc Restaurant,Delhi,28.648867,77.229715,North Indian
"Agarwal, Khanna and Gaba Restaurant",Kolkata,22.568223,88.317061,Mexican
Shere-Gulati Restaurant,Chennai,13.122716,80.257947,South Indian
Basu Ltd Restaurant,Delhi,28.603439,77.22793,Italian
Bakshi and Sons Restaurant,Lucknow,26.87649,80.936861,Indian
"Nath, Korpal and Naik Restaurant",Bangalore,12.999884,77.563111,Arabic
Saran-Sidhu Restaurant,Jaipur,26.938267,75.78698,Italian
Chauhan-Gola Restaurant,Pune,18.500007,73.865394,Arabic
"Naidu, Desai and Mander Restaurant",Bangalore,12.933265,77.579865,North Indian
Pai-Srinivasan Restaurant,Pune,18.497116,73.832225,Chinese
Kala-Jayaraman Restaurant,Delhi,28.588119,77.222677,South Indian
"Zachariah, Kohli and Kar Restaurant",Pune,18.561969,73.861179,Japanese
Kapadia PLC Restaurant,Delhi,28.621506,77.249029,Italian
Pillay Ltd Restaurant,Mumbai,19.113306,72.884163,Japanese
Dalal Ltd Restaurant,Mumbai,19.088268,72.910621,Indian
"Sridhar, Rama and Sinha Restaurant",Delhi,28.605898,77.177391,North Indian
"Koshy, Kar and Gara Restaurant",Pune,18.514113,73.825511,Chinese
"Madan, Saran and Korpal Restaurant",Lucknow,26.863578,80.929965,South Indian
Mandal Inc Restaurant,Ahmedabad,23.017057,72.528015,North Indian
"Sachar, Chanda and Kale Restaurant",Kolkata,22.587982,88.345861,North Indian
Pandya Inc Restaurant,Mumbai,19.066026,72.843901,Indian
"Chana, Wable and Sethi Restaurant",Bangalore,12.955157,77.630622,Japanese
Sawhney Inc Restaurant,Kolkata,22.58932,88.394323,South Indian
Kala-Jayaraman Restaurant,Ahmedabad,22.991437,72.588594,Indian
"Korpal, Kapur and Goyal Restaurant",Chennai,13.077147,80.251444,Italian
Bandi PLC Restaurant,Kolkata,22.546418,88.352389,Japanese
Buch and Sons Restaurant,Lucknow,26.833377,80.961671,South Indian
Choudhry PLC Restaurant,Ahmedabad,23.040389,72.53139,Italian
"Sarin, Shetty and Keer Restaurant",Ahmedabad,23.013638,72.551826,Japanese
Din LLC Restaurant,Delhi,28.635309,77.243007,Arabic
Comar-Doshi Restaurant,Pune,18.534838,73.833258,Mexican
"Kumar, Zacharia and Bath Restaurant",Mumbai,19.098877,72.867907,South Indian
Sule and Sons Restaurant,Jaipur,26.931507,75.812111,Chinese
Dhingra-Char Restaurant,Delhi,28.589435,77.217388,Mexican
Contractor-Ramachandran Restaurant,Jaipur,26.890887,75.74459,Italian
Chander PLC Restaurant,Chennai,13.11067,80.269217,Mexican
Varkey-Biswas Restaurant,Bangalore,12.959982,77.572198,Chinese
"Borde, Bhakta and Bir Restaurant",Kolkata,22.575369,88.406674,Arabic
Ramakrishnan-Kant Restaurant,Pune,18.490829,73.830251,Indian
Bhatt-Vig Restaurant,Lucknow,26.862698,80.916491,Arabic
"Sheth, Mutti and Walla Restaurant",Kolkata,22.595269,88.323057,Japanese
Das and Sons Restaurant,Kolkata,22.582595,88.343357,North Indian
Ghosh and Sons Restaurant,Mumbai,19.09985,72.866205,Japanese
Kaur LLC Restaurant,Delhi,28.600462,77.193922,Chinese
"Padmanabhan, Goyal and Kaur Restaurant",Bangalore,12.972695,77.630291,Mexican
Karpe-Sethi Restaurant,Lucknow,26.83034,80.935634,Indian
"Panchal, Oza and Sinha Restaurant",Chennai,13.06173,80.278284,Chinese
"Contractor, Bumb and Bali Restaurant",Bangalore,12.940712,77.60984,Mexican
"Puri, Ahuja and Gokhale Restaurant",Hyderabad,17.424112,78.467871,Chinese
"Hegde, Trivedi and Sankar Restaurant",Hyderabad,17.408428,78.473675,Japanese
"Sathe, Murty and Deshpande Restaurant",Delhi,28.61683,77.185321,Mexican
Tak Inc Restaurant,Hyderabad,17.384073,78.447954,Indian
"Halder, Reddy and Agrawal Restaurant",Chennai,13.048703,80.241312,Chinese
Gola Group Restaurant,Mumbai,19.057187,72.875532,Mexican
Dhaliwal-Badal Restaurant,Lucknow,26.831849,80.96019,Japanese
Nayak Group Restaurant,Bangalore,12.992373,77.567871,Mexican
Raj Group Restaurant,Jaipur,26.938265,75.759935,Chinese
Agate and Sons Restaurant,Chennai,13.126117,80.259606,Chinese
Bose and Sons Restaurant,Jaipur,26.890898,75.750204,Italian
Lall-Sunder Restaurant,Jaipur,26.882878,75.822134,Japanese
Rout-Bhatia Restaurant,Ahmedabad,23.005066,72.52724,Arabic
"Venkataraman, Ravel and Kala Restaurant",Pune,18.537151,73.84627,Indian
Raman-Wagle Restaurant,Chennai,13.087543,80.304912,Arabic
Sha and Sons Restaurant,Delhi,28.591581,77.233868,North Indian
Narasimhan LLC Restaurant,Chennai,13.07911,80.230907,Italian
Dhingra-Sani Restaurant,Jaipur,26.924476,75.823924,Japanese
Kamdar-Wagle Restaurant,Bangalore,12.980268,77.571546,North Indian
"Dube, Raman and Mody Restaurant",Jaipur,26.915882,75.743109,Japanese
Pingle PLC Restaurant,Bangalore,12.99057,77.588233,Indian
Varkey-Patla Restaurant,Hyderabad,17.366512,78.459871,Arabic
Ranganathan and Sons Restaurant,Bangalore,13.000541,77.581187,North Indian
Dani-Chaudhari Restaurant,Kolkata,22.544239,88.375189,North Indian
Shenoy and Sons Restaurant,Jaipur,26.937734,75.773664,Japanese
Uppal-Narayan Restaurant,Jaipur,26.902831,75.805682,South Indian
Deshmukh Group Restaurant,Lucknow,26.813078,80.928515,North Indian
Ramakrishnan-Kant Restaurant,Pune,18.558865,73.834285,Chinese
"Kumer, Mitra and Pradhan Restaurant",Mumbai,19.101267,72.898573,Arabic
Pai-Srinivasan Restaurant,Mumbai,19.063296,72.898943,North Indian
Loke-Oommen Restaurant,Hyderabad,17.417803,78.469181,North Indian
Khosla Group Restaurant,Jaipur,26.93161,75.826601,Japanese
Dar PLC Restaurant,Bangalore,12.982134,77.549813,Arabic
Bera-Ray Restaurant,Mumbai,19.037235,72.884509,Mexican
Dar PLC Restaurant,Delhi,28.597602,77.185956,Japanese
Keer-Vig Restaurant,Ahmedabad,23.025557,72.550983,Arabic
"Bahri, Chopra and Keer Restaurant",Kolkata,22.535091,88.338666,Italian
"Kothari, Shankar and Chaudhary Restaurant",Hyderabad,17.356636,78.45988,Italian
"Kala, Varty and Chadha Restaurant",Bangalore,12.98759,77.60449,Italian
Shenoy and Sons Restaurant,Bangalore,12.939733,77.593992,North Indian
"Yohannan, Varty and Nanda Restaurant",Pune,18.481795,73.845288,Japanese
Pau Ltd Restaurant,Pune,18.512353,73.813082,North Indian
"Golla, Sahni and Cherian Restaurant",Hyderabad,17.36087,78.501652,Arabic
Peri-Sarin Restaurant,Ahmedabad,23.023432,72.529589,Arabic
"Dixit, Ratta and Mall Restaurant",Chennai,13.095156,80.256033,North Indian
Bhalla-Gade Restaurant,Hyderabad,17.377056,78.460441,Italian
"Pathak, Brahmbhatt and Cheema Restaurant",Hyderabad,17.412007,78.485169,Mexican
Dass-Krish Restaurant,Lucknow,26.807089,80.957257,Japanese
"Sinha, Reddy and Choudhry Restaurant",Lucknow,26.804551,80.940023,Italian
"Mane, Taneja and Dutta Restaurant",Kolkata,22.558624,88.343573,Chinese
Basak-Mani Restaurant,Jaipur,26.895624,75.796821,Indian
Mishra-Zachariah Restaurant,Lucknow,26.842928,80.914767,Japanese
Prabhakar-Chaudhari Restaurant,Delhi,28.616287,77.180487,Arabic
"Dutt, Basak and Choudhary Restaurant",Ahmedabad,22.9977,72.585079,Japanese
Iyer LLC Restaurant,Mumbai,19.112208,72.859622,Indian
Taneja-Pandey Restaurant,Delhi,28.628755,77.172664,South Indian
Swaminathan-Jaggi Restaurant,Kolkata,22.589082,88.405894,South Indian
Balakrishnan-Gupta Restaurant,Chennai,13.061674,80.288594,Indian
Kota Inc Restaurant,Delhi,28.624681,77.173529,Arabic
"Palla, Kuruvilla and Boase Restaurant",Pune,18.502078,73.819604,Arabic
Sawhney PLC Restaurant,Mumbai,19.098935,72.89686,Chinese
Patel LLC Restaurant,Mumbai,19.047913,72.885087,Indian
Manne-Sarna Restaurant,Mumbai,19.056418,72.891657,Indian
Sagar-Vasa Restaurant,Bangalore,12.948757,77.611636,Mexican
Comar LLC Restaurant,Lucknow,26.834611,80.922342,Arabic
Bajaj and Sons Restaurant,Kolkata,22.603754,88.394196,Mexican
Sridhar PLC Restaurant,Hyderabad,17.379034,78.523809,Italian
"Dave, Desai and Seth Restaurant",Hyderabad,17.414639,78.469628,Mexican
"Hans, Varughese and Khare Restaurant",Kolkata,22.614883,88.362536,North Indian
"Dube, Raman and Mody Restaurant",Chennai,13.127458,80.271942,South Indian
"Kunda, Savant and Bassi Restaurant",Jaipur,26.921065,75.826796,South Indian
Banerjee LLC Restaurant,Bangalore,12.944904,77.606743,North Indian
Lal-Lad Restaurant,Ahmedabad,23.054395,72.586962,Arabic
Mutti Inc Restaurant,Lucknow,26.818044,80.924778,Indian
"Dalal, Malhotra and Tripathi Restaurant",Jaipur,26.94656,75.781567,Indian
Contractor Ltd Restaurant,Hyderabad,17.354931,78.492742,Italian
Prabhu-Rattan Restaurant,Delhi,28.585977,77.221109,South Indian
"Golla, Sahni and Cherian Restaurant",Ahmedabad,22.986444,72.567895,South Indian
"Bose, Kapoor and Gola Restaurant",Mumbai,19.109799,72.864423,Indian
Nori-D’Alia Restaurant,Mumbai,19.078019,72.911269,South Indian
Mody Group Restaurant,Chennai,13.101497,80.288179,North Indian
Sawhney-Kar Restaurant,Bangalore,12.940595,77.583097,North Indian
Ganesh and Sons Restaurant,Jaipur,26.893794,75.786468,Indian
Peri-Sarin Restaurant,Chennai,13.101991,80.307554,Italian
"Padmanabhan, Ahluwalia and Bhasin Restaurant",Lucknow,26.844193,80.973982,Chinese
Chada PLC Restaurant,Jaipur,26.924239,75.762409,Chinese
Mangat-Gole Restaurant,Ahmedabad,22.983966,72.582494,Indian
"Chaudry, Gala and Dora Restaurant",Lucknow,26.81336,80.949779,Chinese
Kala-Kanda Restaurant,Bangalore,12.951906,77.570678,Indian
"Krishnan, Thaker and Goswami Restaurant",Ahmedabad,23.003858,72.614945,Arabic
Dasgupta and Sons Restaurant,Kolkata,22.536578,88.377807,Mexican
More-Dixit Restaurant,Delhi,28.62754,77.226697,North Indian
Bajaj and Sons Restaurant,Delhi,28.593506,77.247202,Japanese
Mutti Inc Restaurant,Delhi,28.575632,77.22976,North Indian
Ghosh-Magar Restaurant,Chennai,13.077082,80.24376,Chinese
"Bahl, Verma and Kari Restaurant",Lucknow,26.870479,80.950804,North Indian
Atwal Ltd Restaurant,Ahmedabad,23.062898,72.561135,Indian
Rajagopalan LLC Restaurant,Delhi,28.604861,77.189753,Japanese
Saxena LLC Restaurant,Delhi,28.62998,77.177284,Chinese
Bhatt-Vig Restaurant,Pune,18.510627,73.884778,Chinese
